Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Other Equipment Total Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),BLOCK1:ZONE1_WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_FLOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Hourly:ON),BLOCK1:ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/14  15:00:00,135.25,619.5,200.0,1308.8693875815316,114.97947778978153,114.97947778978153,552.0477732533116,235.659373777906,124.61204289263508,624.1307831245482,235.659373777906,235.659373777906,26.999999999922204,0.49509862702761756,0.0,2574.263766869977,720000.0,9267349.56058224,0.0,0.0 
 07/14  16:00:00,197.75,336.75,200.0,998.1970374502769,119.44781368072302,119.44781368072302,470.320481647644,143.17593562159099,83.1947557381115,416.5797498675283,143.17593562159099,143.17593562159099,26.999999999996179,0.5014175008236288,0.0,1957.7198543750208,720000.0,7047791.475742973,0.0,0.0 
 07/14  17:00:00,139.5,333.5,200.0,690.6812096064173,89.43322997232463,130.06163273838519,467.68751772083888,89.43322997232463,59.56752899000715,298.5428345033244,89.43322997232463,89.43322997232463,26.999999999999884,0.5038728775692802,0.0,1375.590183162661,720000.0,4952124.659385372,0.0,0.0 
 07/14  18:00:00,55.75,379.5,200.0,352.5828784870273,45.65438471100622,151.84553283556805,467.0433892461855,45.65438471100622,34.81752172933005,175.05964808015188,45.65438471100622,45.65438471100622,27.0,0.5016468004257675,0.0,1025.1821893838988,720000.0,3690655.8817820318,0.0,0.0 
 07/14  19:00:00,39.25,60.75,200.0,173.1682717258019,22.422787320345468,58.47524925714226,108.21945625086431,22.422787320345468,9.419745258559523,47.29356762987187,22.422787320345468,22.422787320345468,27.0,0.503393630021197,0.0,630.031309228144,720000.0,2268112.713221318,0.0,0.0 
 07/14  20:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.5082520346187791,0.0,215.4324486012638,720000.0,775556.8149645493,0.0,0.0 
 07/14  21:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.843489996029,0.5098099107002262,0.0,1.534932548654068,720000.0,5525.757175154648,0.0,0.0 
 07/14  22:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.099220428741537,0.5081191871897386,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/14  23:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.259089672970153,0.5086545080918189,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/14  24:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.402200350047253,0.5083795419930175,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  01:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.645064725417475,0.5086173856295517,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  02:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.878529472885235,0.5077549954537339,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  03:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15099357859685,0.5077764607881042,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  04:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43549784479258,0.5075991287445052,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  05:00:00,18.75,25.75,200.0,70.4758206236577,72.24420269603047,41.15097878239042,9.125599749435136,9.125599749435136,3.9328860712528388,19.923389841668,9.125599749435136,9.125599749435136,20.87742176910765,0.5078365297173373,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  06:00:00,95.0,214.25,200.0,413.3461318195963,355.13976041816206,159.71595448636317,53.52234743183217,53.52234743183217,27.46168993575763,139.3277516760072,53.52234743183217,53.52234743183217,20.96740962360148,0.5066919755738693,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  07:00:00,163.0,604.75,200.0,839.7515076743747,793.555071478381,246.72381395901014,108.73567814049143,108.73567814049143,76.5746995521898,388.0966217765501,108.73567814049143,108.73567814049143,22.23794250052232,0.5031672905557667,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  08:00:00,180.0,798.0,200.0,1083.9760028009187,936.4458170822961,176.91960092929089,140.3592189777665,140.3592189777665,121.86973234866677,615.4503044725184,140.3592189777665,140.3592189777665,24.57228249025,0.5028310045363025,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/15  09:00:00,186.5,875.5,200.0,1423.4529577955157,884.6208553896133,153.54398952825972,153.54398952825972,247.7313722024623,158.85488865190255,800.0316564448729,247.7313722024623,247.7313722024623,26.92280982530506,0.5042381704767274,0.0,291.1713177602958,720000.0,1047746.84344418,0.0,0.0 
 07/15  10:00:00,185.25,904.5,200.0,2030.2760134769742,713.590155216084,162.5692383614934,162.5692383614934,365.63394738019647,185.35092405085084,931.7345399706287,365.63394738019647,365.63394738019647,26.999999999987837,0.5021243299151947,0.0,1264.7150343917752,720000.0,4552974.123791939,0.0,0.0 
 07/15  11:00:00,169.25,911.0,200.0,2508.8553862578385,480.39458537795539,156.67168463907499,156.67168463907499,428.7397231346432,198.86359990837298,998.4287547374337,428.7397231346432,428.7397231346432,26.999999999999504,0.4993644725526648,0.0,2176.053668153484,720000.0,7833793.205351666,0.0,0.0 
 07/15  12:00:00,138.5,896.25,200.0,2621.6983445722059,221.23520884982345,144.47316745535489,144.47316745535489,436.0216154584126,197.29450470194804,989.7534893876555,436.0216154584126,436.0216154584126,26.99999999999997,0.49794357023340299,0.0,2706.1533857968508,720000.0,9742152.188868603,0.0,0.0 
 07/15  13:00:00,114.5,865.25,200.0,2398.601120379608,133.62771761183405,133.62771761183405,284.4020994275047,405.21517384148276,185.2832578104319,929.0248550040512,405.21517384148276,405.21517384148276,27.0,0.49756320982347887,0.0,2870.8904679963145,720000.0,10335205.684786724,0.0,0.0 
 07/15  14:00:00,110.0,774.75,200.0,1851.177130433209,124.17175281471606,124.17175281471606,453.12917820664748,329.55793211706819,158.79891884392897,796.0173503187793,329.55793211706819,329.55793211706819,27.0,0.4970594524061911,0.0,2738.6680159533495,720000.0,9859204.85743206,0.0,0.0 
 07/15  15:00:00,104.75,697.0,200.0,1251.647140228165,108.46185619541507,108.46185619541507,577.7366051756787,235.86384924370049,130.08062290459345,652.1319408264014,235.86384924370049,235.86384924370049,27.0,0.49738825718805426,0.0,2305.2725290360015,720000.0,8298981.104529603,0.0,0.0 
 07/15  16:00:00,75.5,679.25,200.0,757.4197207593911,90.02518338705406,90.02518338705406,652.7826768636204,124.8416576873399,102.6388252683088,514.9848057838742,124.8416576873399,124.8416576873399,26.999999999999994,0.4956116486360056,0.0,1835.4024366873496,720000.0,6607448.77207446,0.0,0.0 
