Date/Time,BLOCK1:ZONEA:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEB:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEC:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Cooling Energy [J](Hourly) 
 06/02  06:00:00,24.99652635398784,20.04089853142019,14.51897888129324,0.0,0.0,0.0,0.0,0.0,0.0 
 06/02  07:00:00,24.917918258345073,19.97481832474878,14.498910034180355,0.0,0.0,0.0,0.0,0.0,0.0 
 06/02  08:00:00,25.679217094998245,20.45270849513365,14.830709323465979,0.0,0.0,0.0,0.0,0.0,17289.27460278313 
 06/02  09:00:00,27.091199787490944,21.30915467383957,14.999888149458082,0.0,0.0,0.0,0.0,0.0,636276.8346479134 
 06/02  10:00:00,28.81816475560035,22.267597918794534,14.999999999506447,0.0,0.0,0.0,0.0,0.0,1382504.9237462474 
 06/02  11:00:00,30.5709838010828,23.21066736392855,14.999999999999968,0.0,0.0,0.0,0.0,0.0,2016356.9262846346 
 06/02  12:00:00,32.30282803216088,24.126482317005605,15.0,0.0,0.0,0.0,0.0,0.0,2808430.8042558275 
 06/02  13:00:00,33.96389827972981,24.997262139931779,15.0,0.0,0.0,0.0,0.0,0.0,3599643.4454408159 
 06/02  14:00:00,35.363851524834348,25.743058037514584,15.0,0.0,0.0,0.0,0.0,0.0,4193966.4891546217 
 06/02  15:00:00,36.51526873465426,26.369915333982694,15.0,0.0,0.0,0.0,0.0,0.0,4638961.154327417 
 06/02  16:00:00,37.39027072452001,26.87731397815496,15.0,0.0,0.0,0.0,0.0,0.0,4932978.876725616 
 06/02  17:00:00,37.83172438354563,27.234239635942897,15.0,0.0,0.0,0.0,0.0,0.0,4960209.77418915 
 06/02  18:00:00,37.93100457426368,27.41320479255254,14.999999999999999,0.0,0.0,0.0,0.0,0.0,4839690.852142407 
 06/02  19:00:00,37.70459066827273,27.395243386310438,15.0,0.0,0.0,0.0,0.0,0.0,4588795.752945373 
 06/02  20:00:00,37.07299175839447,27.139643630950606,14.999999999999997,0.0,0.0,0.0,0.0,0.0,4180975.3484218365 
 06/02  21:00:00,36.145130767404939,26.687867688384416,15.0,0.0,0.0,0.0,0.0,0.0,3711491.8302326265 
 06/02  22:00:00,35.058421758897498,26.11019245822215,15.0,0.0,0.0,0.0,0.0,0.0,3255390.7263412789 
 06/02  23:00:00,34.0351229624326,25.540317908764803,15.0,0.0,0.0,0.0,0.0,0.0,2876030.1166241678 
 06/02  24:00:00,33.07468831524111,24.99245846939381,15.0,0.0,0.0,0.0,0.0,0.0,2553350.026526146 
 06/03  01:00:00,32.160236908957489,24.462539895798466,14.999999999999997,0.0,0.0,0.0,0.0,0.0,2261374.8082472134 
 06/03  02:00:00,31.3039376933202,23.959546094168866,15.0,0.0,0.0,0.0,0.0,0.0,2000219.7253107653 
 06/03  03:00:00,30.50165413981354,23.483116283451147,15.0,0.0,0.0,0.0,0.0,0.0,1780929.3176872177 
 06/03  04:00:00,29.70759847079796,23.00696953011423,15.0,0.0,0.0,0.0,0.0,0.0,1588187.3714067557 
 06/03  05:00:00,28.893876528061793,22.513460254576559,15.000000000000002,0.0,0.0,0.0,0.0,0.0,1257388.77497142 
 06/03  06:00:00,28.06415857762422,22.00379899064067,15.0,0.0,0.0,0.0,0.0,0.0,857786.5577333381 
